dataset_name,ACF,BN,BOSS,BoP,C45,CID_DTW,DDTW_R1_1NN,DDTW_Rn_1NN,DD_DTW,DTD_C,DTW_F,DTW_R1_1NN,DTW_Rn_1NN,EE,ERP_1NN,Euclidean_1NN,FS,Flat-COTE,HIVE-COTE,LCSS_1NN,LPS,LS,MLP,MSM_1NN,NB,PS,RandF,RotF,SAXVSM,ST,SVML,SVMQ,Sig_LGBM,Sig_LR,Sig_kNN,TSBF,TSF,TWE_1NN,WDDTW_1NN,WDTW_1NN
Adiac,0.664961637,0.501278772,0.764705882,0.588235294,0.542199488,0.624040921,0.585677749,0.670076726,0.7007672629999999,0.7007672629999999,0.611253197,0.603580563,0.608695652,0.664961637,0.608695652,0.611253197,0.59335,0.79028133,0.810741688,0.250639386,0.769820972,0.52173913,0.73657289,0.626598465,0.562659847,0.751918159,0.636828645,0.7749360609999999,0.452685422,0.7826086959999999,0.44245524299999994,0.7621483379999999,0.5601023017902813,0.5831202046035806,0.3554987212276215,0.769820972,0.7314578009999999,0.6342711,0.6751918159999999,0.606138107
ArrowHead,0.645714286,0.571428571,0.8342857140000001,0.737142857,0.605714286,0.828571429,0.7771428570000001,0.8342857140000001,0.7885714290000001,0.72,0.76,0.702857143,0.8,0.811428571,0.8,0.8,0.594286,0.811428571,0.8628571429999999,0.7885714290000001,0.782857143,0.845714286,0.708571429,0.805714286,0.542857143,0.47428571399999997,0.7142857140000001,0.737142857,0.7885714290000001,0.737142857,0.7314285709999999,0.7428571429999999,0.3942857142857143,0.2914285714285714,0.4914285714285714,0.7542857140000001,0.725714286,0.794285714,0.805714286,0.817142857
Beef,0.7333333329999999,0.6,0.8,0.6,0.533333333,0.6333333329999999,0.666666667,0.7,0.666666667,0.666666667,0.666666667,0.6333333329999999,0.666666667,0.6333333329999999,0.666666667,0.666666667,0.566667,0.8666666670000001,0.933333333,0.7666666670000001,0.6,0.8666666670000001,0.6,0.46666666700000003,0.666666667,0.7333333329999999,0.7333333329999999,0.8666666670000001,0.433333333,0.9,0.9,0.933333333,0.2,0.6,0.5333333333333333,0.566666667,0.7666666670000001,0.6,0.7,0.7
BeetleFly,0.65,0.85,0.9,0.7,0.9,0.75,0.75,0.85,0.65,0.65,0.6,0.7,0.65,0.75,0.75,0.75,0.7,0.8,0.95,0.8,0.8,0.8,0.8,0.6,0.75,0.85,0.8,0.9,0.9,0.9,0.8,0.85,0.5,0.6,0.6,0.8,0.75,0.7,0.75,0.7
BirdChicken,0.85,0.6,0.95,0.75,0.8,0.75,0.85,0.9,0.85,0.8,0.85,0.75,0.7,0.8,0.75,0.55,0.75,0.9,0.85,0.8,1.0,0.8,0.6,0.85,0.55,0.95,0.75,0.85,1.0,0.8,0.65,0.8,0.5,0.75,0.5,0.9,0.8,0.85,0.85,0.75
CBF,0.598888889,0.8544444440000001,0.997777778,0.924444444,0.673333333,0.9988888890000001,0.5922222220000001,0.5722222220000001,0.9966666670000001,0.98,0.9911111109999999,0.9966666670000001,0.9944444440000001,0.997777778,0.997777778,0.8522222220000001,0.94,0.9955555559999999,0.9988888890000001,0.99,0.9988888890000001,0.9911111109999999,0.894444444,0.968888889,0.8955555559999999,0.5555555560000001,0.89,0.9288888890000001,0.956666667,0.9744444440000001,0.877777778,0.8755555559999999,0.33111111111111113,0.8977777777777778,0.7833333333333333,0.987777778,0.9944444440000001,0.9911111109999999,0.591111111,0.9966666670000001
Car,0.583333333,0.566666667,0.833333333,0.783333333,0.566666667,0.7666666670000001,0.7333333329999999,0.783333333,0.8,0.783333333,0.85,0.7333333329999999,0.7666666670000001,0.833333333,0.7666666670000001,0.7333333329999999,0.75,0.9,0.8666666670000001,0.833333333,0.85,0.7666666670000001,0.7666666670000001,0.9,0.6,0.7,0.666666667,0.8,0.8666666670000001,0.916666667,0.85,0.8833333329999999,0.6333333333333333,0.8,0.5166666666666667,0.783333333,0.7666666670000001,0.916666667,0.783333333,0.783333333
ChlorineConcentration,0.661979167,0.598958333,0.6609375,0.640625,0.6875,0.648697917,0.6830729170000001,0.69765625,0.7080729170000001,0.713020833,0.63359375,0.6484375,0.65,0.65625,0.659895833,0.65,0.546354,0.7270833329999999,0.7119791670000001,0.7197916670000001,0.607552083,0.592447917,0.861458333,0.627604167,0.34635416700000005,0.722395833,0.7125,0.847395833,0.654427083,0.6997395829999999,0.584375,0.92421875,0.6604166666666667,0.7221354166666667,0.4994791666666666,0.6924479170000001,0.7197916670000001,0.6484375,0.68984375,0.64921875
Coffee,1.0,0.9642857140000001,1.0,0.9285714290000001,0.9285714290000001,1.0,0.9285714290000001,0.9642857140000001,1.0,1.0,0.9642857140000001,1.0,1.0,1.0,1.0,1.0,0.9285709999999999,1.0,1.0,1.0,1.0,1.0,0.9642857140000001,0.892857143,0.9285714290000001,1.0,1.0,1.0,0.9285714290000001,0.9642857140000001,1.0,1.0,0.5357142857142857,0.9642857142857144,0.6785714285714286,1.0,0.9642857140000001,1.0,0.9642857140000001,1.0
Computers,0.6,0.664,0.7559999999999999,0.6679999999999999,0.568,0.62,0.6679999999999999,0.6759999999999999,0.716,0.716,0.544,0.7,0.624,0.708,0.54,0.5760000000000001,0.5,0.74,0.76,0.644,0.68,0.584,0.496,0.5760000000000001,0.58,0.66,0.608,0.7,0.62,0.736,0.49200000000000005,0.54,0.6759999999999999,0.596,0.552,0.7559999999999999,0.72,0.632,0.608,0.7
