dataset_name,ACF,BN,BOSS,BoP,C45,CID_DTW,DDTW_R1_1NN,DDTW_Rn_1NN,DD_DTW,DTD_C,DTW_F,DTW_R1_1NN,DTW_Rn_1NN,EE,ERP_1NN,Euclidean_1NN,FS,Flat-COTE,HIVE-COTE,LCSS_1NN,LPS,LS,MLP,MSM_1NN,NB,PS,RandF,RotF,SAXVSM,ST,SVML,SVMQ,Sig_LGBM,Sig_LR,Sig_kNN,TSBF,TSF,TWE_1NN,WDDTW_1NN,WDTW_1NN
CricketX,0.566666667,0.312820513,0.7358974359999999,0.576923077,0.274358974,0.7769230770000001,0.630769231,0.630769231,0.7538461540000001,0.7538461540000001,0.7641025640000001,0.7538461540000001,0.7794871790000001,0.812820513,0.7641025640000001,0.576923077,0.48461499999999996,0.807692308,0.823076923,0.7307692309999999,0.6974358970000001,0.7410256409999999,0.505128205,0.7641025640000001,0.379487179,0.569230769,0.587179487,0.6333333329999999,0.7384615379999999,0.7717948720000001,0.38974359,0.484615385,0.6102564102564103,0.6076923076923076,0.3641025641025641,0.705128205,0.664102564,0.7487179490000001,0.641025641,0.78974359
CricketY,0.551282051,0.287179487,0.7538461540000001,0.6333333329999999,0.328205128,0.7128205129999999,0.558974359,0.561538462,0.7769230770000001,0.7743589740000001,0.7794871790000001,0.7435897440000001,0.7564102559999999,0.805128205,0.7307692309999999,0.566666667,0.5307689999999999,0.8256410259999999,0.8487179490000001,0.7871794870000001,0.7666666670000001,0.7179487179999999,0.5256410260000001,0.7717948720000001,0.394871795,0.487179487,0.61025641,0.61025641,0.615384615,0.7794871790000001,0.458974359,0.46153846200000004,0.5230769230769231,0.5743589743589743,0.4512820512820513,0.7358974359999999,0.671794872,0.7538461540000001,0.582051282,0.7589743590000001
CricketZ,0.630769231,0.328205128,0.7461538459999999,0.5358974360000001,0.320512821,0.7307692309999999,0.556410256,0.605128205,0.7743589740000001,0.7743589740000001,0.7282051279999999,0.7538461540000001,0.7358974359999999,0.7820512820000001,0.7333333329999999,0.587179487,0.464103,0.815384615,0.8307692309999999,0.7410256409999999,0.7538461540000001,0.7410256409999999,0.5435897439999999,0.7641025640000001,0.394871795,0.574358974,0.607692308,0.656410256,0.7076923079999999,0.7871794870000001,0.379487179,0.464102564,0.6230769230769231,0.6743589743589744,0.4538461538461538,0.715384615,0.671794872,0.7358974359999999,0.617948718,0.7615384620000001
DiatomSizeReduction,0.8888888890000001,0.9411764709999999,0.9313725490000001,0.9215686270000001,0.715686275,0.934640523,0.934640523,0.91503268,0.9673202609999999,0.91503268,0.934640523,0.9673202609999999,0.934640523,0.944444444,0.934640523,0.934640523,0.8660129999999999,0.928104575,0.9411764709999999,0.9411764709999999,0.905228758,0.980392157,0.964052288,0.947712418,0.879084967,0.87254902,0.87254902,0.87254902,0.882352941,0.924836601,0.954248366,0.947712418,0.3006535947712418,0.915032679738562,0.9052287581699346,0.89869281,0.9313725490000001,0.947712418,0.934640523,0.9673202609999999
ECG5000,0.9097777779999999,0.852888889,0.941333333,0.9117777779999999,0.898666667,0.926666667,0.9195555559999999,0.920666667,0.9235555559999999,0.9235555559999999,0.938222222,0.924444444,0.925111111,0.938666667,0.932222222,0.9248888890000001,0.922667,0.946,0.9462222220000001,0.929555556,0.917111111,0.932222222,0.9328888890000001,0.931777778,0.8835555559999999,0.935555556,0.934666667,0.945777778,0.910444444,0.943777778,0.938444444,0.926222222,0.9175555555555556,0.9286666666666666,0.9262222222222222,0.939555556,0.938888889,0.927111111,0.922,0.9248888890000001
ECGFiveDays,0.981416957,0.780487805,1.0,0.987224158,0.721254355,0.781649245,0.68641115,0.6957026709999999,0.768873403,0.822299652,0.9744483159999999,0.767711963,0.7967479670000001,0.819976771,0.8060394890000001,0.7967479670000001,0.997677,0.99883856,1.0,0.794425087,0.8792102209999999,1.0,0.9163763070000001,0.890824623,0.7967479670000001,1.0,0.721254355,0.908246225,0.954703833,0.983739837,0.975609756,0.9721254359999999,0.497096399535424,0.7793263646922184,0.7421602787456446,0.87688734,0.955865273,0.8292682929999999,0.692218351,0.795586527
Earthquakes,0.748201439,0.568345324,0.748201439,0.741007194,0.697841727,0.71942446,0.6762589929999999,0.6762589929999999,0.7050359709999999,0.7050359709999999,0.748201439,0.71942446,0.726618705,0.741007194,0.683453237,0.7122302159999999,0.705036,0.748201439,0.748201439,0.726618705,0.64028777,0.741007194,0.697841727,0.690647482,0.6690647479999999,0.748201439,0.748201439,0.748201439,0.748201439,0.741007194,0.64028777,0.741007194,0.7482014388489209,0.7625899280575541,0.7769784172661871,0.748201439,0.748201439,0.6762589929999999,0.6762589929999999,0.726618705
FaceAll,0.70887574,0.673372781,0.781656805,0.755621302,0.549112426,0.863905325,0.872781065,0.881656805,0.9017751479999999,0.898816568,0.75739645,0.807692308,0.807692308,0.84852071,0.7928994079999999,0.713609467,0.6260359999999999,0.9177514790000001,0.80295858,0.8005917159999999,0.767455621,0.74852071,0.862721893,0.8094674559999999,0.6928994079999999,0.820118343,0.732544379,0.911242604,0.968047337,0.778698225,0.720118343,0.733136095,0.7816568047337278,0.7686390532544378,0.4804733727810651,0.744378698,0.75147929,0.786390533,0.89704142,0.79408284
FaceFour,0.659090909,0.897727273,1.0,0.954545455,0.7159090909999999,0.875,0.625,0.7386363640000001,0.829545455,0.818181818,0.9886363640000001,0.829545455,0.897727273,0.9090909090000001,0.8636363640000001,0.7840909090000001,0.909091,0.897727273,0.954545455,0.9659090909999999,0.943181818,0.9659090909999999,0.9090909090000001,0.943181818,0.8409090909999999,0.511363636,0.852272727,0.818181818,0.931818182,0.852272727,0.8863636359999999,0.852272727,0.1590909090909091,0.7386363636363636,0.3295454545454545,1.0,0.931818182,0.852272727,0.7159090909999999,0.875
FacesUCR,0.692682927,0.611707317,0.9570731709999999,0.898536585,0.477560976,0.8946341459999999,0.843414634,0.8746341459999999,0.904390244,0.907804878,0.709756098,0.904878049,0.907804878,0.944878049,0.92097561,0.769268293,0.705854,0.942439024,0.962926829,0.955121951,0.925853659,0.93902439,0.7473170729999999,0.971219512,0.7273170729999999,0.800487805,0.7824390240000001,0.802926829,0.925365854,0.905853659,0.75804878,0.780487805,0.7170731707317073,0.8287804878048779,0.4692682926829268,0.8668292679999999,0.8834146340000001,0.92,0.868292683,0.92
FiftyWords,0.428571429,0.16043956,0.705494505,0.540659341,0.41758241799999996,0.78021978,0.692307692,0.762637363,0.7538461540000001,0.7538461540000001,0.747252747,0.69010989,0.764835165,0.81978022,0.712087912,0.630769231,0.48131899999999994,0.797802198,0.808791209,0.797802198,0.817582418,0.72967033,0.6505494510000001,0.813186813,0.562637363,0.41758241799999996,0.6813186809999999,0.661538462,0.39340659299999997,0.705494505,0.646153846,0.69010989,0.6043956043956044,0.7120879120879121,0.5318681318681319,0.7582417579999999,0.740659341,0.7934065929999999,0.7692307690000001,0.771428571
Fish,0.617142857,0.6571428570000001,0.9885714290000001,0.8971428570000001,0.5657142860000001,0.8342857140000001,0.8971428570000001,0.92,0.942857143,0.9257142859999999,0.948571429,0.822857143,0.8342857140000001,0.965714286,0.8742857140000001,0.782857143,0.782857,0.9828571429999999,0.9885714290000001,0.8742857140000001,0.942857143,0.96,0.845714286,0.931428571,0.6514285710000001,0.811428571,0.76,0.828571429,0.948571429,0.9885714290000001,0.8514285709999999,0.8628571429999999,0.6057142857142858,0.7885714285714286,0.42857142857142855,0.8342857140000001,0.794285714,0.931428571,0.96,0.8514285709999999
FordA,0.9363636359999999,0.515909091,0.929545455,0.7893939390000001,0.562121212,0.7719696970000001,0.717424242,0.721969697,0.722727273,0.765151515,0.892424242,0.554545455,0.665151515,0.737878788,0.658333333,0.665151515,0.787121,0.956818182,0.964393939,0.698484848,0.872727273,0.956818182,0.74469697,0.7189393940000001,0.49166666700000006,0.937878788,0.7719696970000001,0.84469697,0.827272727,0.971212121,0.496212121,0.777272727,0.8015151515151515,0.7257575757575757,0.5204545454545455,0.85,0.815151515,0.6181818179999999,0.717424242,0.653030303
FordB,0.780246914,0.507407407,0.7111111109999999,0.624691358,0.525925926,0.627160494,0.665432099,0.656790123,0.666666667,0.65308642,0.749382716,0.619753086,0.598765432,0.661728395,0.624691358,0.60617284,0.728395,0.803703704,0.82345679,0.648148148,0.7111111109999999,0.9172839509999999,0.665432099,0.641975309,0.5345679010000001,0.7901234570000001,0.6543209879999999,0.771604938,0.750617284,0.807407407,0.527160494,0.737037037,0.6790123456790124,0.6555555555555556,0.5222222222222223,0.598765432,0.6876543209999999,0.608641975,0.6592592589999999,0.598765432
GunPoint,0.726666667,0.8533333329999999,1.0,0.986666667,0.773333333,0.926666667,0.9933333329999999,1.0,0.98,0.986666667,0.98,0.906666667,0.913333333,0.9933333329999999,0.946666667,0.913333333,0.946667,1.0,1.0,0.973333333,0.9933333329999999,1.0,0.926666667,0.973333333,0.786666667,0.893333333,0.94,0.92,0.986666667,1.0,0.8,0.94,0.5933333333333334,0.9466666666666668,0.82,0.986666667,0.973333333,0.953333333,0.9933333329999999,0.98
Ham,0.685714286,0.704761905,0.666666667,0.59047619,0.533333333,0.514285714,0.47619047600000003,0.542857143,0.47619047600000003,0.552380952,0.704761905,0.46666666700000003,0.6,0.571428571,0.6,0.6,0.647619,0.6476190479999999,0.666666667,0.60952381,0.5619047620000001,0.666666667,0.838095238,0.514285714,0.752380952,0.6,0.7142857140000001,0.7142857140000001,0.80952381,0.685714286,0.6,0.6571428570000001,0.5142857142857142,0.5904761904761905,0.5333333333333333,0.761904762,0.7428571429999999,0.514285714,0.552380952,0.580952381
HandOutlines,0.686486486,0.845945946,0.902702703,0.902702703,0.8810810809999999,0.8621621620000001,0.737837838,0.810810811,0.867567568,0.864864865,0.9162162159999999,0.8810810809999999,0.878378378,0.8891891890000001,0.883783784,0.8621621620000001,0.810811,0.9189189190000001,0.932432432,0.848648649,0.8810810809999999,0.481081081,0.883783784,0.875675676,0.810810811,0.745945946,0.905405405,0.9108108109999999,0.908108108,0.932432432,0.8918918920000001,0.867567568,0.7702702702702703,0.7972972972972973,0.6675675675675675,0.854054054,0.9189189190000001,0.87027027,0.840540541,0.87027027
Haptics,0.43181818200000005,0.363636364,0.461038961,0.42207792200000005,0.350649351,0.425324675,0.28571428600000004,0.327922078,0.399350649,0.399350649,0.435064935,0.37662337700000004,0.415584416,0.39285714299999996,0.37012987,0.37012987,0.392857,0.522727273,0.519480519,0.38961039,0.43181818200000005,0.467532468,0.467532468,0.44155844200000005,0.438311688,0.448051948,0.454545455,0.438311688,0.37987013,0.522727273,0.405844156,0.428571429,0.42857142857142855,0.448051948051948,0.31493506493506496,0.49025974,0.444805195,0.415584416,0.321428571,0.37012987
Herring,0.671875,0.53125,0.546875,0.5625,0.578125,0.515625,0.5,0.515625,0.546875,0.546875,0.578125,0.53125,0.53125,0.578125,0.625,0.515625,0.53125,0.625,0.6875,0.5625,0.578125,0.625,0.640625,0.5625,0.578125,0.5625,0.59375,0.65625,0.625,0.671875,0.609375,0.609375,0.59375,0.59375,0.59375,0.640625,0.609375,0.515625,0.46875,0.53125
InlineSkate,0.46,0.17636363600000002,0.516363636,0.376363636,0.269090909,0.414545455,0.452727273,0.456363636,0.561818182,0.509090909,0.37272727299999997,0.383636364,0.38727272700000004,0.46,0.44727272700000004,0.341818182,0.189091,0.494545455,0.5,0.427272727,0.5,0.43818181799999995,0.34,0.452727273,0.21636363600000003,0.42909090899999996,0.350909091,0.370909091,0.410909091,0.37272727299999997,0.30909090899999997,0.329090909,0.3345454545454545,0.2472727272727273,0.2490909090909091,0.385454545,0.376363636,0.42181818200000004,0.452727273,0.40363636399999997
InsectWingbeatSound,0.5580808079999999,0.614141414,0.523232323,0.491919192,0.507070707,0.578282828,0.243434343,0.519191919,0.355050505,0.47272727299999995,0.630808081,0.355050505,0.573737374,0.594949495,0.5257575760000001,0.561616162,0.48939399999999994,0.652525253,0.655050505,0.5555555560000001,0.550505051,0.606060606,0.591414141,0.574747475,0.628282828,0.583333333,0.656060606,0.636363636,0.547474747,0.626767677,0.643434343,0.6005050510000001,0.4727272727272727,0.5040404040404041,0.391919191919192,0.624747475,0.6328282829999999,0.534343434,0.5424242420000001,0.573737374
LargeKitchenAppliances,0.778666667,0.549333333,0.765333333,0.624,0.485333333,0.792,0.768,0.7573333329999999,0.794666667,0.794666667,0.8,0.794666667,0.794666667,0.810666667,0.6186666670000001,0.493333333,0.56,0.845333333,0.8640000000000001,0.584,0.717333333,0.701333333,0.48,0.669333333,0.45866666700000003,0.7333333329999999,0.568,0.608,0.8773333329999999,0.858666667,0.42666666700000005,0.46133333299999996,0.8293333333333334,0.7786666666666666,0.5226666666666666,0.528,0.570666667,0.752,0.768,0.794666667
Lightning2,0.639344262,0.7377049179999999,0.836065574,0.7540983609999999,0.62295082,0.8688524590000001,0.672131148,0.770491803,0.8688524590000001,0.8688524590000001,0.786885246,0.8688524590000001,0.8688524590000001,0.8852459020000001,0.8688524590000001,0.7540983609999999,0.704918,0.8688524590000001,0.8196721309999999,0.770491803,0.8196721309999999,0.8196721309999999,0.721311475,0.8196721309999999,0.672131148,0.7377049179999999,0.7377049179999999,0.68852459,0.852459016,0.7377049179999999,0.721311475,0.7540983609999999,0.459016393442623,0.6721311475409836,0.6229508196721312,0.7377049179999999,0.8032786890000001,0.836065574,0.8196721309999999,0.901639344
Lightning7,0.575342466,0.684931507,0.684931507,0.575342466,0.547945205,0.698630137,0.575342466,0.698630137,0.671232877,0.6575342470000001,0.575342466,0.7260273970000001,0.712328767,0.767123288,0.739726027,0.575342466,0.643836,0.808219178,0.739726027,0.575342466,0.739726027,0.7945205479999999,0.643835616,0.753424658,0.643835616,0.602739726,0.698630137,0.7260273970000001,0.575342466,0.7260273970000001,0.712328767,0.712328767,0.5753424657534246,0.6986301369863014,0.6164383561643836,0.7260273970000001,0.753424658,0.753424658,0.684931507,0.767123288
Mallat,0.82217484,0.9552238809999999,0.9381663109999999,0.845628998,0.7513859279999999,0.9253731340000001,0.897228145,0.9253731340000001,0.948827292,0.927078891,0.948400853,0.9339019190000001,0.914285714,0.939872068,0.913859275,0.914285714,0.9761190000000001,0.953944563,0.9620469079999999,0.9108742,0.908315565,0.95010661,0.89466951,0.9317697229999999,0.845628998,0.884008529,0.8648187629999999,0.949253731,0.84434968,0.9641791040000001,0.8669509590000001,0.863539446,0.1697228144989339,0.7628997867803838,0.6085287846481876,0.960341151,0.919402985,0.912153518,0.912579957,0.937739872
Meat,0.85,0.916666667,0.9,0.7333333329999999,0.8666666670000001,0.933333333,0.666666667,0.666666667,0.933333333,0.933333333,0.9,0.933333333,0.933333333,0.933333333,0.933333333,0.933333333,0.833333,0.916666667,0.933333333,0.533333333,0.8833333329999999,0.7333333329999999,1.0,0.933333333,0.933333333,0.8666666670000001,0.933333333,0.966666667,0.9,0.85,0.966666667,0.966666667,0.9,0.9166666666666666,0.85,0.933333333,0.933333333,0.933333333,0.666666667,0.933333333
OSULeaf,0.776859504,0.309917355,0.954545455,0.648760331,0.342975207,0.619834711,0.880165289,0.871900826,0.880165289,0.8842975209999999,0.809917355,0.590909091,0.5991735539999999,0.805785124,0.603305785,0.520661157,0.677686,0.9669421490000001,0.979338843,0.789256198,0.739669421,0.776859504,0.45867768600000003,0.772727273,0.38016528899999996,0.82231405,0.512396694,0.570247934,0.851239669,0.9669421490000001,0.44214876,0.566115702,0.6157024793388429,0.6074380165289256,0.4462809917355372,0.760330579,0.5826446279999999,0.776859504,0.8842975209999999,0.623966942
OliveOil,0.8,0.9,0.8666666670000001,0.8666666670000001,0.833333333,0.8666666670000001,0.8666666670000001,0.833333333,0.833333333,0.8666666670000001,0.9,0.833333333,0.8666666670000001,0.8666666670000001,0.8666666670000001,0.8666666670000001,0.733333,0.9,0.9,0.4,0.8666666670000001,0.166666667,0.9,0.833333333,0.9,0.833333333,0.9,0.8666666670000001,0.9,0.9,0.8666666670000001,0.8666666670000001,0.4,0.7666666666666667,0.7666666666666667,0.833333333,0.8666666670000001,0.8666666670000001,0.8666666670000001,0.833333333
Phoneme,0.23048523199999998,0.112869198,0.264767932,0.129746835,0.065400844,0.220991561,0.25632911399999997,0.24683544300000002,0.268987342,0.267932489,0.276898734,0.228375527,0.22679324899999997,0.30485232100000004,0.179324895,0.109177215,0.173523,0.34915611799999996,0.382383966,0.25632911399999997,0.236814346,0.21835443,0.097046414,0.292194093,0.136603376,0.21993670899999998,0.146624473,0.129746835,0.104957806,0.320675105,0.093881857,0.097046414,0.22521097046413505,0.12078059071729955,0.07225738396624473,0.276371308,0.21202531600000002,0.27004219399999996,0.244725738,0.161392405
Plane,0.9714285709999999,0.9809523809999999,1.0,0.9809523809999999,0.9619047620000001,1.0,1.0,1.0,1.0,1.0,0.99047619,1.0,1.0,1.0,1.0,0.9619047620000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9619047620000001,1.0,0.942857143,1.0,0.99047619,0.99047619,0.99047619,1.0,0.9809523809999999,0.99047619,0.8857142857142857,0.9714285714285714,0.8666666666666667,1.0,1.0,1.0,1.0,1.0
RefrigerationDevices,0.496,0.504,0.498666667,0.46133333299999996,0.46399999999999997,0.445333333,0.408,0.424,0.445333333,0.445333333,0.48266666700000005,0.46399999999999997,0.44,0.437333333,0.49066666700000006,0.394666667,0.333333,0.546666667,0.557333333,0.49066666700000006,0.45866666700000003,0.5146666670000001,0.368,0.48266666700000005,0.384,0.5066666670000001,0.5146666670000001,0.565333333,0.653333333,0.581333333,0.35200000000000004,0.373333333,0.5626666666666666,0.4506666666666666,0.488,0.47200000000000003,0.589333333,0.512,0.434666667,0.42666666700000005
ScreenType,0.504,0.44799999999999995,0.46399999999999997,0.41866666700000005,0.373333333,0.40533333299999996,0.42666666700000005,0.442666667,0.429333333,0.437333333,0.434666667,0.39733333299999996,0.41066666700000004,0.445333333,0.381333333,0.36,0.413333,0.546666667,0.589333333,0.437333333,0.41600000000000004,0.429333333,0.386666667,0.45866666700000003,0.434666667,0.493333333,0.434666667,0.44,0.512,0.52,0.381333333,0.384,0.496,0.3626666666666667,0.37333333333333335,0.5093333329999999,0.456,0.42666666700000005,0.42666666700000005,0.41066666700000004
ShapeletSim,0.922222222,0.522222222,1.0,0.7,0.488888889,0.7444444440000001,0.538888889,0.505555556,0.611111111,0.6,0.672222222,0.65,0.694444444,0.816666667,0.838888889,0.538888889,1.0,0.9611111109999999,1.0,0.8222222220000001,0.8666666670000001,0.95,0.472222222,0.8666666670000001,0.46666666700000003,0.7666666670000001,0.488888889,0.41111111100000003,0.716666667,0.955555556,0.488888889,0.483333333,0.5,0.4888888888888889,0.5111111111111111,0.9611111109999999,0.477777778,0.577777778,0.494444444,0.7555555559999999
ShapesAll,0.6166666670000001,0.583333333,0.908333333,0.785,0.47166666700000004,0.808333333,0.835,0.845,0.85,0.838333333,0.805,0.768333333,0.801666667,0.8666666670000001,0.811666667,0.7516666670000001,0.58,0.8916666670000001,0.905,0.845,0.8733333329999999,0.768333333,0.65,0.8716666670000001,0.6233333329999999,0.7383333329999999,0.77,0.7433333329999999,0.698333333,0.841666667,0.713333333,0.7483333329999999,0.6866666666666666,0.735,0.6283333333333333,0.185,0.791666667,0.86,0.86,0.811666667
SmallKitchenAppliances,0.698666667,0.653333333,0.725333333,0.7466666670000001,0.573333333,0.674666667,0.653333333,0.669333333,0.64,0.648,0.7573333329999999,0.6426666670000001,0.672,0.696,0.632,0.344,0.333333,0.7759999999999999,0.8533333329999999,0.47200000000000003,0.7120000000000001,0.664,0.333333333,0.698666667,0.5146666670000001,0.68,0.669333333,0.728,0.578666667,0.792,0.46133333299999996,0.46133333299999996,0.7573333333333333,0.7093333333333334,0.688,0.672,0.810666667,0.645333333,0.645333333,0.674666667
Strawberry,0.87027027,0.818918919,0.9756756759999999,0.967567568,0.937837838,0.943243243,0.962162162,0.962162162,0.9540540540000001,0.9567567570000001,0.97027027,0.940540541,0.9459459459999999,0.9459459459999999,0.9459459459999999,0.9459459459999999,0.902703,0.9513513509999999,0.97027027,0.837837838,0.962162162,0.9108108109999999,0.962162162,0.943243243,0.764864865,0.940540541,0.9567567570000001,0.972972973,0.9567567570000001,0.962162162,0.9189189190000001,0.972972973,0.9,0.9513513513513514,0.8783783783783784,0.9540540540000001,0.964864865,0.943243243,0.962162162,0.943243243
SwedishLeaf,0.8816,0.8336,0.9216,0.7344,0.6576,0.8816,0.8848,0.904,0.9008,0.8959999999999999,0.9008,0.792,0.8464,0.9152,0.8624,0.7888,0.768,0.9552,0.9536,0.888,0.92,0.9072,0.8288,0.8959999999999999,0.8576,0.9024,0.8704,0.8816,0.6688,0.9279999999999999,0.8416,0.8640000000000001,0.8192,0.8864,0.76,0.9152,0.9136,0.8912,0.8928,0.8736
Symbols,0.897487437,0.895477387,0.9668341709999999,0.9507537690000001,0.6271356779999999,0.940703518,0.970854271,0.9688442209999999,0.9527638190000001,0.96281407,0.9487437190000001,0.9497487440000001,0.937688442,0.959798995,0.920603015,0.899497487,0.933668,0.963819095,0.973869347,0.954773869,0.96281407,0.931658291,0.75678392,0.9487437190000001,0.79798995,0.798994975,0.9015075379999999,0.792964824,0.622110553,0.88241206,0.8703517590000001,0.894472362,0.17386934673366833,0.8954773869346734,0.8180904522613065,0.9457286429999999,0.914572864,0.959798995,0.973869347,0.9497487440000001
ToeSegmentation1,0.890350877,0.578947368,0.938596491,0.8771929820000001,0.592105263,0.736842105,0.7850877190000001,0.587719298,0.807017544,0.807017544,0.921052632,0.771929825,0.75,0.828947368,0.833333333,0.679824561,0.95614,0.9736842109999999,0.98245614,0.75,0.8771929820000001,0.934210526,0.5,0.815789474,0.552631579,0.697368421,0.649122807,0.530701754,0.929824561,0.9649122809999999,0.543859649,0.574561404,0.5263157894736842,0.7456140350877193,0.5570175438596491,0.7807017540000001,0.74122807,0.820175439,0.6271929820000001,0.7938596490000001
ToeSegmentation2,0.8307692309999999,0.561538462,0.961538462,0.946153846,0.5,0.876923077,0.684615385,0.784615385,0.7461538459999999,0.715384615,0.907692308,0.838461538,0.907692308,0.892307692,0.923076923,0.807692308,0.692308,0.915384615,0.9538461540000001,0.907692308,0.8692307690000001,0.915384615,0.592307692,0.7538461540000001,0.6384615379999999,0.7461538459999999,0.7692307690000001,0.584615385,0.8615384620000001,0.907692308,0.546153846,0.653846154,0.8153846153846154,0.7076923076923077,0.7307692307692307,0.8,0.815384615,0.784615385,0.7923076920000001,0.892307692
