x,y
0.000000000000000000e+00,4.746465728891116065e-01
1.000000000000000000e+00,4.400037451422411650e-01
2.000000000000000000e+00,3.985304167812692699e-01
3.000000000000000000e+00,3.500870152026739901e-01
4.000000000000000000e+00,2.950318019555678850e-01
5.000000000000000000e+00,2.343691623549775116e-01
6.000000000000000000e+00,1.698646463170623289e-01
7.000000000000000000e+00,1.040970179258853823e-01
8.000000000000000000e+00,4.042066330142451980e-02
9.000000000000000000e+00,-1.717956279949911513e-02
1.000000000000000000e+01,-6.434546691907963578e-02
1.100000000000000000e+01,-9.670250606907412894e-02
1.200000000000000000e+01,-1.102873869716099881e-01
1.300000000000000000e+01,-1.019920965665503249e-01
1.400000000000000000e+01,4.312035332368938101e-02
1.500000000000000000e+01,1.889808444219117367e-01
1.600000000000000000e+01,3.284723630057088117e-01
1.700000000000000000e+01,4.544558286532828228e-01
1.800000000000000000e+01,5.603727848609012518e-01
1.900000000000000000e+01,6.408368421695974648e-01
2.000000000000000000e+01,6.921371498392997479e-01
2.100000000000000000e+01,7.125950077829436013e-01
2.200000000000000000e+01,7.027406515911898133e-01
2.300000000000000000e+01,7.721324597948202584e-01
2.400000000000000000e+01,8.142400844844970287e-01
2.500000000000000000e+01,8.259343940303988107e-01
2.600000000000000000e+01,8.061299973069266933e-01
2.700000000000000000e+01,7.557784777021383515e-01
2.800000000000000000e+01,6.776964421471505240e-01
2.900000000000000000e+01,5.762474013796242689e-01
3.000000000000000000e+01,4.569189418834626037e-01
3.100000000000000000e+01,3.258429640589041720e-01
3.200000000000000000e+01,1.893071223721488061e-01
3.300000000000000000e+01,5.331096906006035224e-02
3.400000000000000000e+01,6.600972927514599242e-02
3.500000000000000000e+01,9.346501985068550455e-02
3.600000000000000000e+01,1.322167908603920639e-01
3.700000000000000000e+01,1.785019429551674697e-01
3.800000000000000000e+01,2.286052755549291549e-01
3.900000000000000000e+01,2.791507517463511778e-01
4.000000000000000000e+01,3.273002996404127951e-01
4.100000000000000000e+01,3.708516268100271462e-01
4.200000000000000000e+01,4.082405696219617575e-01
4.300000000000000000e+01,4.384659868157247953e-01
4.400000000000000000e+01,4.609650197310014574e-01
4.500000000000000000e+01,4.754725080477467669e-01
4.600000000000000000e+01,4.818991049993786580e-01
4.700000000000000000e+01,4.802570772952891032e-01
4.800000000000000000e+01,4.706510677041116919e-01
4.900000000000000000e+01,4.533354424935600591e-01
5.000000000000000000e+01,4.288240403406008983e-01
5.100000000000000000e+01,3.980259614700233928e-01
5.200000000000000000e+01,3.623746660922819718e-01
5.300000000000000000e+01,3.239173126188742424e-01
5.400000000000000000e+01,2.853360055101454851e-01
5.500000000000000000e+01,2.498812554202264058e-01
5.600000000000000000e+01,2.212094429885445857e-01
5.700000000000000000e+01,2.031293552338247765e-01
5.800000000000000000e+01,1.992865619696869983e-01
5.900000000000000000e+01,3.338697523629913233e-01
6.000000000000000000e+01,4.667070540512338606e-01
6.100000000000000000e+01,5.929756705054822774e-01
6.200000000000000000e+01,7.080827875747317535e-01
6.300000000000000000e+01,8.080453058673529032e-01
6.400000000000000000e+01,8.898377134730541815e-01
6.500000000000000000e+01,9.516558639457528557e-01
6.600000000000000000e+01,9.930616537184733250e-01
6.700000000000000000e+01,1.014986246822286775e+00
6.800000000000000000e+01,1.019596291428693124e+00
6.900000000000000000e+01,1.106109303300078173e+00
7.000000000000000000e+01,1.169812625749012458e+00
7.100000000000000000e+01,1.206177405164376548e+00
7.200000000000000000e+01,1.212184532764161382e+00
7.300000000000000000e+01,1.186468883854869372e+00
7.400000000000000000e+01,1.129336723443212342e+00
7.500000000000000000e+01,1.042655666312951146e+00
7.600000000000000000e+01,9.296393671389169278e-01
7.700000000000000000e+01,7.945684265059242968e-01
7.800000000000000000e+01,7.668537086022770843e-01
7.900000000000000000e+01,7.342579115811838086e-01
8.000000000000000000e+01,6.939647536852958654e-01
8.100000000000000000e+01,6.434217036677778445e-01
8.200000000000000000e+01,5.806296453133965585e-01
8.300000000000000000e+01,5.043698756511542092e-01
8.400000000000000000e+01,4.143454544724048949e-01
8.500000000000000000e+01,3.112354572529550945e-01
8.600000000000000000e+01,1.966691030913712834e-01
8.700000000000000000e+01,7.313121886803836125e-02
8.800000000000000000e+01,-5.618843333732542744e-02
8.900000000000000000e+01,-1.875902622490047134e-01
9.000000000000000000e+01,-3.170935096219249516e-01
9.100000000000000000e+01,-4.406869809115274705e-01
9.200000000000000000e+01,-5.545879238767905672e-01
9.300000000000000000e+01,-6.554816592903343064e-01
9.400000000000000000e+01,-5.798840446600866949e-01
9.500000000000000000e+01,-4.900581020969603241e-01
9.600000000000000000e+01,-3.901104616247813572e-01
9.700000000000000000e+01,-2.842638477540399555e-01
9.800000000000000000e+01,-1.766015787478106280e-01
9.900000000000000000e+01,-7.082474733994031935e-02
